Mon 11:00am,Practice 1,1,766,254,5171,6059,2643,5655
Mon 11:10am,Practice 2,2,368,5924,2854,5089,100,4159
Mon 11:20am,Practice 3,3,2135,5737,670,4047,972,4765
Mon 11:30am,Practice 4,4,852,2473,1868,5104,5905,5940
Mon 11:40am,Practice 5,5,1662,199,4990,5026,2489,5728
Mon 11:50am,Practice 6,6,846,4904,4171,971,253,6036
Mon 12:00pm,Practice 7,7,3482,2367,1280,192,5027,256
Mon 12:10pm,Practice 8,8,115,4643,8,3256,5677,751
Mon 12:20pm,Practice 9,9,1351,114,1967,6039,4186,649
Mon 12:30pm,Practice 10,10,668,2813,3303,1700,1678,581
Mon 12:40pm,Practice 11,11,4255,2035,5700,604,841,368
Mon 12:50pm,Practice 12,12,5940,5089,972,4904,2367,254
Mon 1:00pm,Practice 13,13,5026,5905,2643,971,256,5737
Mon 1:10pm,Practice 14,14,4171,192,5104,2135,4159,199
Mon 1:20pm,Practice 15,15,668,6059,2489,670,1967,115
Mon 1:30pm,Practice 16,16,4765,5728,1868,1351,2813,2035
Mon 1:40pm,Practice 17,17,100,6039,253,8,5655,1280
Mon 1:50pm,Practice 18,18,841,581,4990,5924,4186,751
Mon 2:00pm,Practice 19,19,649,5677,604,5171,3482,6036
Mon 2:10pm,Practice 20,20,114,3256,4047,3303,766,5027
Mon 2:20pm,Practice 21,21,4643,2473,1678,1662,4255,846
Mon 2:30pm,Practice 22,22,2854,852,1351,1700,5700,8
Mon 2:40pm,Practice 23,23,5940,5728,5737,5655,668,5924
Mon 2:50pm,Practice 24,24,751,971,2135,3482,100,2813
Mon 4:00pm,Practice 25,25,2643,4765,4904,5104,604,1280
Mon 4:10pm,Practice 26,26,6036,256,2489,4255,6039,581
Mon 4:20pm,Practice 27,27,4159,3256,846,4186,2035,5026
Mon 4:30pm,Practice 28,28,368,3303,253,115,5171,4990
Mon 4:40pm,Practice 29,29,972,199,6059,852,5027,1678
Mon 4:50pm,Practice 30,30,649,2367,670,2854,1868,4643
Mon 5:00pm,Practice 31,31,5905,192,1700,4047,841,254
Mon 5:10pm,Practice 32,32,2473,5089,5700,4171,5677,114
Mon 5:20pm,Practice 33,33,1662,2813*,2035*,766,1967,4765*
